District,District Code,Facility Code,Reg No.,DHIS2 CODE,Facility Name,Facility Type,Facility Ownership,Facility Location,Catchment Population (2018),LATITUDE,LONGITUDE,,,,,,,
Mzimba,MZ,577,,0,Kaswavipindi private Clinic,Dispensary,Private for profit,Urban,,-11.900570,33.594650,,,,,,,
Mzimba,MZ,578,MCM/C/13,578,Masm Medi Clinic Katoto,Dispensary,Private for profit,Urban,,-11.471110,33.995350,,,,,,,
Mzimba,MZ,579,,0,"Chibanja Private Clinic, Mtika",Dispensary,Private for profit,Urban,,-11.451080,34.011780,,,,,,,
Mzimba,MZ,565,,565,Mumbwe Medical Centre,Dispensary,Private for profit,Urban,,-11.461150,34.025990,,,,,,,
Mzimba,MZ,580,,0,Vitumbiko Private Clinic,Dispensary,Private for profit,Urban,,-11.469860,34.069290,,,,,,,
Mzimba,MZ,581,,581,"Care Medical Centre, Mtambo, M",Dispensary,Private for profit,Urban,,-11.460360,34.006960,,,,,,,
Mzimba,MZ,582,MCM/C/124,582,Macro Mzuzu,Dispensary,NGO,Urban,,-11.464900,34.004390,,,,,,,
Mzimba,MZ,570,MCM/C/075,570,BLM Mzimba Clinic,Dispensary,NGO,Urban,,-11.898820,33.594020,,,,,,,
Mzimba,MZ,550,MCM/C/077,550,BLM Mzuzu  Clinic,Dispensary,NGO,Urban,,-11.456120,34.016380,,,,,,,
Mzimba,MZ,583,MCM/C/93,0,Raiply Clinic,Dispensary,Company,Rural,,-11.916440,33.755980,,,,,,,
Mzimba,MZ,584,MCM/C/182,0,Auction Holdings Clinic,Dispensary,Private for profit,Urban,,-11.463410,34.020530,,,,,,,
Mzimba,MZ,585,,585,Moyale Barracks Clinics,Dispensary,Government/public,Urban,,-11.459760,34.038290,,,,,,,
Mzimba,MZ,586,,0,Mzimba Prison,Dispensary,Government/public,Urban,,-11.910700,33.584140,,,,,,,
Mzimba,MZ,587,,0,Mzuzu Police Clinic,Dispensary,Government/public,Urban,,-11.462110,34.024890,,,,,,,
Mzimba,MZ,588,MCM/C/87,0,Southern Bottlers Ltd. Clinic,Dispensary,Company,Urban,,-11.418530,34.006450,,,,,,,
Mzimba,MZ,589,MCM/C/022,589,Mzuzu University Clinic,Dispensary,Private for profit,Urban,,-11.421750,33.995640,,,,,,,
Mzimba,MZ,590,MCM/C/126,0,SOS Medical Centre,Dispensary,Private for profit,Urban,,-11.471740,34.004390,,,,,,,
Mzimba,MZ,591,,591,Manolo Health Center,Health Centre,Private for profit,Urban,,,,,,,,,,
Mzimba,MZ,6001,,0,Chagoma,Health Post,Government/public,Rural,,-11.214085,33.807507,,,,,,,
Mzimba,MZ,6002,,0,Madise I,Health Post,Government/public,Rural,,-11.263586,33.780672,,,,,,,
Mzimba,MZ,6003,,0,Kapangamawe,Health Post,Government/public,Rural,,-11.449527,33.680755,,,,,,,
Mzimba,MZ,6004,,0,Gowoka,Health Post,Government/public,Rural,,-11.518401,33.626397,,,,,,,
Mzimba,MZ,6005,,0,St Anne'S,Health Post,Government/public,Rural,,-11.487080,33.588453,,,,,,,
Mzimba,MZ,6006,,0,Chololo,Health Post,Government/public,Rural,,-11.014233,33.972657,,,,,,,
Mzimba,MZ,6007,,0,Katope,Health Post,Government/public,Rural,,-11.074251,34.007405,,,,,,,
Mzimba,MZ,6008,,0,Kamanda,Health Post,Government/public,Rural,,-11.149343,34.032283,,,,,,,
Mzimba,MZ,6009,,0,Chilukwa,Health Post,Christian Health Association of Malawi (CHAM),Rural,,-11.286936,33.821297,,,,,,,
Mzimba,MZ,6010,,0,Mphofwa,Health Post,Government/public,Rural,,-11.680054,33.620114,,,,,,,
Mzimba,MZ,6011,,0,Luviri,Health Post,Government/public,Rural,,-12.203300,33.665772,,,,,,,
Mzimba,MZ,6012,,0,Vibangalala,Dispensary,Government/public,Rural,,-12.234379,33.486162,,,,,,,
Mzimba,MZ,6013,,0,Mgoza,Health Post,Government/public,Rural,,-12.673290,33.831326,,,,,,,
Mzimba,MZ,6014,,6014,Kaweche Health Centre,Health Centre,Government/public,Rural,,,,,,,R,,,TA Mabulabo
Mzimba,MZ,6015,,578,Masm Medi Clinic Katoto,Health Centre,Private for profit,U,,-11.47111,33.99535,,,,U,,,Mzuzu City
Mzimba,MZ,6016,,6016,Mzuzu Central Prison,Dispensary,Government/public,U,,-11.46474,34.01991,,,,U,,,Mzuzu City
Mzimba,MZ,6017,,6017,Wezi Medical Centre,Health Centre,Private for profit,U,,,,,,,U,,,Mzuzu City
Mzimba,MZ,6018,,6018,Padley PIO,Health Centre,Christian Health Association of Malawi (CHAM),Rural,,,,,,,,,,
Mzimba,MZ,6019,,0,Tovwirane Private,Dispensary,Private for profit,U,,,,,,,,,,
Mzimba,MZ,6020,MCM/C/188,0,Kavuzi Clinic - Kawalazi Estate Clinic,Dispensary,Private for profit,U,,,,,,,,,,
Mzimba,MZ,6021,MCM/C/210,0,Kavuzi New Cummock Clinic - Kajalire CCAP,Health Centre,Christian Health Association of Malawi (CHAM),Rural,,,,,,,,,,
Mzimba,MZ,6022,MCM/C/187,0,Kawalazi Estate Clinic,Dispensary,Private for profit,U,,,,,,,,,,
Mzimba,MZ,6023,MCM/C/186,0,Rafiki Foundation Clinic,Dispensary,Private for profit,U,,,,,,,,,,
Mzimba,MZ,6024,MCM/C/24,0,Vision Care,Dispensary,Private for profit,U,,,,,,,,,,
Mzimba,MZ,6025,MCM/C/369,0,Partners in Christ Medical Centre,Dispensary,Private for profit,U,,,,,,,,,,
Mzimba,MZ,6026,MCM/C/364,0,Mapale Medical Life Centre,Dispensary,Private for profit,U,,,,,,,,,,
Mzimba,MZ,6027,MCM/C/266,0,A-C Opticals ,Dispensary,Private for profit,U,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Likoma,LK,602,MCM/CHAM/HC/16,602,St Mary's / Chizumulu Health C,Health Centre,Government/public,Rural,,-12.029340,34.624250,,,,,,,
Likoma,LK,601,,601,Likoma/St Peters,Rural/Community Hospital,Christian Health Association of Malawi (CHAM),Urban,,-12.064800,34.736570,,,,,,,
Likoma,LK,603,,,ARMY,Dispensary,Government/public,Rural,,-12.08098,34.731191,,,,,,,
,,,,,,,,,,,,,,,,,,
Kasungu,KU,1008,MCM/MOH/DH/13,1008,Kasungu District Hospital,District Hospital,Government/public,Urban,,-13.035790,33.480410,,,,,,,
Kasungu,KU,1005,MCM/MOH/RH/13,1005,Kaluluma Rural Hospital,Rural/Community Hospital,Government/public,Rural,,-12.577590,33.518590,,,,,,,
Kasungu,KU,1001,MCM/MOH/hc/96,1102,Bua Health Centre,Health Centre,Government/public,Rural,,-13.294030,33.538590,,,,,,,
Kasungu,KU,1024,,1024,Chamama Health Centre,Health Centre,Government/public,Rural,,-12.924306,33.776861,,,,,,,
Kasungu,KU,1002,MCM/MOH/HC/93,0,Chamwabvi Health Centre,Health Centre,Government/public,Rural,,-13.107570,33.685280,,,,,,,
Kasungu,KU,1003,MCM/MOH/RH/14,1024,Chulu Health Centre,Health Centre,Government/public,Rural,,-12.821920,33.308160,,,,,,,
Kasungu,KU,1006,MCM/MOH/HC/92,1006,Kamboni Health Centre,Health Centre,Government/public,Rural,,-13.307590,33.181890,,,,,,,
Kasungu,KU,1007,MCM/MOH/HC/97,1007,Kapelula Health Centre,Health Centre,Government/public,Rural,,-12.877670,33.870860,,,,,,,
Kasungu,KU,1033,,1018,Kasalika Health Centre,Health Centre,Government/public,Urban,,-13.039850,33.498660,,,,,,,
Kasungu,KU,1009,,1009,Kawamba Health Centre,Health Centre,Government/public,Rural,,-13.295750,33.339300,,,,,,,
Kasungu,KU,1023,,1023,Khola Health Centre,Health Centre,Government/public,Rural,,-13.344470,33.316490,,,,,,,
Kasungu,KU,1020,,1020,Linyangwa Health Centre,Health Centre,Government/public,Rural,,-13.143790,33.300500,,,,,,,
Kasungu,KU,1027,,1027,Lodjwa Health Centre,Health Centre,Government/public,Rural,,-12.418980,33.529470,,,,,,,
Kasungu,KU,1028,,1028,Mdunga Health Centre,Health Centre,Government/public,Rural,,-12.993100,33.851900,,,,,,,
Kasungu,KU,1010,MCM/MOH/HC/95,1010,Mkhota Health Centre,Health Centre,Government/public,Rural,,-13.566510,33.343480,,,,,,,
Kasungu,KU,1012,MCM/CHAM/HC/45,1012,Mpasazi Health Centre,Health Centre,Government/public,Rural,,-12.583194,33.381861,,,,,,,
Kasungu,KU,1011,MCM/MOH/HC/94,1011,Mtunthama Health Centre,Health Centre,Government/public,Rural,,-13.031450,33.682090,,,,,,,
Kasungu,KU,1034,,0,Ntepa Health Centre,Health Centre,Government/public,Rural,,-12.622020,33.326810,,,,,,,
Kasungu,KU,1022,,1022,Ofesi Health Centre,Health Centre,Government/public,Rural,,-12.779390,33.549040,,,,,,,
Kasungu,KU,1014,MCM/MOH/RH/12,1014,Santhe Health Centre,Health Centre,Government/public,Rural,,-13.467120,33.393780,,,,,,,
Kasungu,KU,1015,MCM/MOH/HC/98,1015,Simlemba Health Centre,Health Centre,Government/public,Rural,,-12.740810,33.676400,,,,,,,
Kasungu,KU,1035,,0,Thupa Health Centre,Health Centre,Government/public,Rural,,-12.682667,33.393528,,,,,,,
Kasungu,KU,1016,,1016,Wimbe Health Centre,Health Centre,Government/public,Rural,,-12.991260,33.686940,,,,,,,
Kasungu,KU,1017,,1030,Chisinga Dispensary,Dispensary,Government/public,Rural,,-12.622028,33.326917,,,,,,,
Kasungu,KU,1004,MCM/MOH/HC/91,1004,Dwangwa Dispensary/Health Center,Dispensary,Government/public,Rural,,-12.881420,33.453700,,,,,,,
Kasungu,KU,1021,,1021,Gogode Dispensary,Dispensary,Government/public,Rural,,-12.887730,33.561340,,,,,,,
Kasungu,KU,1036,,0,Lifupa Dispensary,Dispensary,Government/public,Rural,,-13.048889,33.146944,,,,,,,
Kasungu,KU,1037,,0,Kapyanga Health Post,Health Post,Government/public,Rural,,-12.823840,33.788420,,,,,,,
Kasungu,KU,1013,MCM/CHAM/RH/39,1013,Nkhamenya Rural Hospital,Rural/Community Hospital,Christian Health Association of Malawi (CHAM),Rural,,-12.566060,33.500980,,,,,,,
Kasungu,KU,1019,MCM/CHAM/HC/72,1031,KTFT/Mziza Health Centre,Health Centre,Christian Health Association of Malawi (CHAM),Rural,,-13.279410,33.504050,,,,,,,
Kasungu,KU,1012,,1012,Newa Health Centre,Health Centre,Christian Health Association of Malawi (CHAM),Rural,,-12.583330,33.381740,,,,,,,
Kasungu,KU,1032,MCM/CHAM/RH/60,1032,St. Andrews Health Centre,Health Centre,Christian Health Association of Malawi (CHAM),Rural,,-13.032630,33.671140,,,,,,,
Kasungu,KU,1038,MCM/C/215,1038,St. Faith Anglican Clinic,Dispensary,Christian Health Association of Malawi (CHAM),Rural,,-12.928860,33.795200,,,,,,,
Kasungu,KU,1039,,1018,"Kasalika Private Clinic, Chimb",Dispensary,Private for profit,Urban,,-13.035220,33.499270,,,,,,,
Kasungu,KU,1040,,0,"Titani Private Clinic, Chimpha",Dispensary,Private for profit,Rural,,-12.984910,33.694370,,,,,,,
Kasungu,KU,1041,,0,Yankho Private Clinic,Dispensary,Private for profit,Urban,,-13.040440,33.481110,,,,,,,
Kasungu,KU,1042,,0,Chimwemwe Private Clinic,Dispensary,Private for profit,Rural,,-12.567170,33.511490,,,,,,,
Kasungu,KU,1043,,0,"Mbalunji Private Clinic, Dhlam",Dispensary,Private for profit,Rural,,-12.814060,33.433900,,,,,,,
Kasungu,KU,1044,,0,Gogo Leya Private Clinic,Dispensary,Private for profit,Rural,,-12.700320,33.488990,,,,,,,
Kasungu,KU,1045,,1025,Kalikene Private Clinic,Dispensary,Private for profit,Urban,,-13.038900,33.481380,,,,,,,
Kasungu,KU,1046,,0,"Chipulumutso Private Clinic, K",Dispensary,Private for profit,Rural,,-13.301010,33.528060,,,,,,,
Kasungu,KU,1047,,0,"St. Mark Private Clinic, Magom",Dispensary,Private for profit,Urban,,-13.043120,33.480490,,,,,,,
Kasungu,KU,1048,,0,"Chikumbutso Private Clinic, Ng",Dispensary,Private for profit,Urban,,-13.065160,33.434820,,,,,,,
Kasungu,KU,1049,,0,"Nkuriza, Stanilas, Inernos Pri",Dispensary,Private for profit,Rural,,-12.927410,33.796280,,,,,,,
Kasungu,KU,1050,,0,"Phanga, Chimongo J. Prince Hen",Dispensary,Private for profit,Rural,,-13.211630,33.503020,,,,,,,
Kasungu,KU,1051,,0,"Phiri, Harold K. S. Chisomo Pr",Dispensary,Private for profit,Rural,,-13.437900,33.384160,,,,,,,
Kasungu,KU,1052,,0,"Veruwa, Flyven P. Mphatso Zath",Dispensary,Private for profit,Urban,,-13.067500,33.482970,,,,,,,
Kasungu,KU,1053,MCM/C/069,0,Kasungu BLM,Dispensary,NGO,Urban,,-13.043090,33.478580,,,,,,,
Kasungu,KU,1054,MCM/C/120,0,Kamuzu Academy Clinic,Dispensary,Company,Rural,,-13.029380,33.688430,,,,,,,
Kasungu,KU,1055,,0,Kasungu Prison,Dispensary,Government/public,Urban,,-13.020950,33.457160,,,,,,,
Kasungu,KU,1056,,0,Internals Private Clinic,Dispensary,Private for profit,Rural,,-12.927440,33.796160,,,,,,,
Kasungu,KU,1057,,0,Lisa Private Clinic,Dispensary,Private for profit,Rural,,-13.439410,33.393420,,,,,,,
Kasungu,KU,1058,,0,Mwatitha Private Clinic,Dispensary,Private for profit,Rural,,-13.435520,33.389800,,,,,,,
Kasungu,KU,1059,,0,Mafuphinzi,Health Post,Government/public,Rural,,-12.708423,33.437599,,,,,,,
Kasungu ,KU,1060,,0,Kasungu Engineers Battalion,Health Centre,Government/public,Rural,,,,,,,,,,Mzuzu City
Kasungu ,KU,1061,,1033,Anchor Farm,Dispensary,Company,Rural,,,,,,,,,,
Kasungu ,KU,1062,,1034,Chinyama -KU030,Dispensary,Government/public,Rural,,,,,,,,,,
Kasungu ,KU,1063,,1026,Livwezi,Dispensary,Government/public,Rural,,,,,,,,,,
Kasungu ,KU,1064,,1029,Mnyanja,Dispensary,Government/public,Rural,,,,,,,,,,
Kasungu ,KU,1065,,1030,Mpepa,Dispensary,Government/public,Rural,,,,,,,,,,
Kasungu ,KU,1066,MCM/C/269,0,FamilyPlanning Association of Malawi,Dispensary,NGO,Urban,,,,,,,,,,
Kasungu ,KU,1067,MCM/C/201,0,MACRO Kasungu Centre,Dispensary,NGO,Urban,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Nkhotakota,KK,1101,MCM/MOH/HC/58,1101,Benga Health Centre,Health Centre,Government/public,Rural,,-13.368460,34.274040,,,,,,,
Nkhotakota,KK,1102,MCM/MOH/HC/60,1102,Bua Health Centre,Health Centre,Government/public,Rural,,-12.796700,34.209710,,,,,,,
Nkhotakota,KK,1103,MCM/CHAM/HC/31,1103,Chididi Health Centre,Health Centre,Christian Health Association of Malawi (CHAM),Rural,,-13.085730,34.314740,,,,,,,
Nkhotakota,KK,1104,MCM/MOH/RH/09,1104,Dwambazi Rural Hospital,Rural/Community Hospital,Government/public,Rural,,-12.234050,33.991940,,,,,,,
Nkhotakota,KK,1105,,1105,Kapili Health Centre,Health Centre,Christian Health Association of Malawi (CHAM),Rural,,-13.216160,34.311360,,,,,,,
Nkhotakota,KK,1106,MCM/CHAM/HC/32,1106,Liwaladzi Health Centre,Health Centre,Christian Health Association of Malawi (CHAM),Rural,,-12.620540,34.165380,,,,,,,
Nkhotakota,KK,1107,MCM/MOH/HC/61,1107,Mpamantha Health Centre,Health Centre,Government/public,Rural,,-13.069260,34.252240,,,,,,,
Nkhotakota,KK,1108,MCM/MOH/HC/57,1108,Mtosa Health Centre,Health Centre,Government/public,Rural,,-13.438760,34.273650,,,,,,,
Nkhotakota,KK,1109,MCM/MOH/RH/10,1109,Mwansambo Health Centre,Health Centre,Government/public,Rural,,-13.306980,34.118770,,,,,,,
Nkhotakota,KK,1110,MCM/MOH/HC/56,1110,Ngala Health Centre,Health Centre,Government/public,Rural,,-12.365290,34.065520,,,,,,,
Nkhotakota,KK,1111,MCM/MOH/DH/17,1111,Nkhotakota District Hospital,District Hospital,Government/public,Urban,,-12.925080,34.279390,,,,,,,
Nkhotakota,KK,1112,MCM/MOH/HC/59,1112,Nkhunga Health Centre,Health Centre,Government/public,Rural,,-12.480230,34.108420,,,,,,,
Nkhotakota,KK,1113,MCM/CHAM/HC/36,1113,Alinafe Community Hospital,Rural/Community Hospital,Christian Health Association of Malawi (CHAM),Rural,,-13.387890,34.242920,,,,,,,
Nkhotakota,KK,1114,MCM/MOH/HC/361,1114,Katimbira Health Centre,Health Centre,Government/public,Rural,,-12.756940,34.217370,,,,,,,
Nkhotakota,KK,1115,MCM/CHAM/DH/07,1115,St. Annes Hospital,Other Hospital,Christian Health Association of Malawi (CHAM),Urban,,-12.927470,34.295540,,,,,,,
Nkhotakota,KK,1116,MCM/MOH/HC/360,1116,Malowa Health Centre,Health Centre,Government/public,Rural,,-13.181600,34.251650,,,,,,,
Nkhotakota,KK,1117,,1117,Msenjere Health Centre,Health Centre,Government/public,Rural,,-12.732480,34.170620,,,,,,,
Nkhotakota,KK,1118,MCM/C/92,1118,Matiki Health Centre,Health Centre,Company,Urban,,-12.498740,34.154640,,,,,,,
Nkhotakota,KK,1120,MCM/C/235,1120,Dwangwa Cane Grower Ltd Clinic,Dispensary,Company,Rural,,-12.521140,34.119100,,,,,,,
Nkhotakota,KK,1121,,1121,Kaongozi Dispensary,Dispensary,Government/public,Rural,,-12.436650,34.049980,,,,,,,
Nkhotakota,KK,1122,MCM/CHAM/HC/76,1119,Kasitu Health Centre,Health Centre,Christian Health Association of Malawi (CHAM),Rural,,-12.309380,34.034300,,,,,,,
Nkhotakota,KK,1133,MCM/C/131,1122,World Medical Fund,Dispensary,NGO,Urban,,-12.915360,34.283380,,,,,,,
Nkhotakota,KK,1123,,0,"Kamanga, Lester P, Hossana Pri",Dispensary,Private for profit,Urban,,-12.928610,34.283050,,,,,,,
Nkhotakota,KK,1124,,0,"Mkoko, Arthur B, Chisomo Priva",Dispensary,Private for profit,Rural,,-12.505880,34.112340,,,,,,,
Nkhotakota,KK,1125,MCM/C/080,0,Nyamvuu Clinic,Dispensary,Company,Rural,,-12.479120,34.136040,,,,,,,
Nkhotakota,KK,1126,MCM/C/089,0,Ukasi Clinic,Dispensary,Company,Rural,,-12.529260,34.163370,,,,,,,
Nkhotakota,KK,1127,MCM/C/065,0,Dwangwa BLM,Dispensary,NGO,Urban,,-12.509750,34.112100,,,,,,,
Nkhotakota,KK,1128,,0,NASO (Nkhotakota Aids Support,Dispensary,NGO,Urban,,-12.927390,34.284650,,,,,,,
Nkhotakota,KK,1129,MCM/C/087,0,Nkhotakota BLM,Dispensary,NGO,Urban,,-12.924290,34.283460,,,,,,,
Nkhotakota,KK,1130,MCM/C/091,0,Central 3 Clinic,Dispensary,Company,Urban,,-12.503300,34.130800,,,,,,,
Nkhotakota,KK,1131,MCM/C/088,0,Kasasa Clinic,Dispensary,Company,Urban,,-12.537530,34.118180,,,,,,,
Nkhotakota,KK,1132,,0,Lupachi,Health Post,Government/public,Rural,,-12.318585,33.779585,,,,,,,
,,,,,,,,,,,,,,,,,,
Ntchisi,NS,1210,MCM/MOH/DH/14,1210,Ntchisi District Hospital,District Hospital,Government/public,Urban,,-13.363450,33.910610,,,,,,,
Ntchisi,NS,1201,MCM/MOH/HC/87,1201,Chinguluwe Health Centre,Health Centre,Government/public,Rural,,-13.261660,33.868510,,,,,,,
Ntchisi,NS,1203,,1203,Kamsonga Health Centre,Health Centre,Government/public,Rural,,-13.274110,33.799490,,,,,,,
Ntchisi,NS,1204,MCM/MOH/HC/89,1204,Kangolwa Health centre,Health Centre,Government/public,Rural,,-13.370460,34.070480,,,,,,,
Ntchisi,NS,1205,,1205,Khuwi Health Centre,Health Centre,Government/public,Rural,,-13.431920,33.833670,,,,,,,
Ntchisi,NS,1206,,1206,Malomo Health Centre,Health Centre,Government/public,Rural,,-13.148610,33.839270,,,,,,,
Ntchisi,NS,1207,MCM/MOH/HC/88,1207,Mkhuzi Health Centre,Health Centre,Government/public,Rural,,-13.366460,33.776620,,,,,,,
Ntchisi,NS,1213,,0,Mndinda Health Centre,Health Centre,Government/public,Rural,,-13.247400,34.056750,,,,,,,
Ntchisi,NS,1209,MCM/MOH/HC/90,1209,Mzandu Health Centre,Health Centre,Government/public,Rural,,-13.489160,34.027380,,,,,,,
Ntchisi,NS,1211,,1211,Nthondo Health Centre,Health Centre,Government/public,Rural,,-13.247230,34.006990,,,,,,,
Ntchisi,NS,1202,MCM/CHAM/HC/23,1202,Chinthembwe Health Centre,Health Centre,Christian Health Association of Malawi (CHAM),Rural,,-13.433260,33.975270,,,,,,,
Ntchisi,NS,1214,,1214,Malambo Health Centre,Health Centre,Christian Health Association of Malawi (CHAM),Rural,,-13.213070,33.762440,,,,,,,
Ntchisi,NS,1215,,0,Asimec Clinic,Dispensary,Private for profit,Urban,,-13.358700,33.916190,,,,,,,
Ntchisi,NS,1216,,0,Fancy Private Clinic,Dispensary,Private for profit,Rural,,-13.353250,33.919100,,,,,,,
Ntchisi,NS,1217,,0,SAMBAKUSI,Health Post,Government/public,Rural,,-13.349658,33.983158,,,,,,,
Ntchisi,NS,1218,,0,Kalimanjira,Dispensary,Government/public,Rural,,,,,,,,,,
Ntchisi,NS,1219,MCM/CHAM/RH/6,0,Mpherere Health Center,Health Centre,CHAM,Rural,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Dowa,DA,1307,MCM/MOH/DH/15,1307,Dowa District Hospital,District Hospital,Government/public,Urban,,-13.654320,33.936250,,,,,,,
Dowa,DA,1313,MCM/MOH/RH/11,1313,Mponela Rural Hospital,Rural/Community Hospital,Government/public,Rural,,-13.532640,33.737130,,,,,,,
Dowa,DA,1301,MCM/MOH/HC/64,1301,Bowe Health Centre,Health Centre,Government/public,Rural,,-13.278780,33.683920,,,,,,,
Dowa,DA,1302,MCM/MOH/HC/63,1302,Chakhaza Health Centre,Health Centre,Government/public,Rural,,-13.444210,33.646760,,,,,,,
Dowa,DA,1303,MCM/MOH/HC/69,1303,Chankhungu Health Centre,Health Centre,Government/public,Rural,,-13.764920,34.014710,,,,,,,
Dowa,DA,1305,MCM/MOH/HC/66,1305,Chinkhwiri Health Centre,Health Centre,Government/public,Rural,,-13.385570,33.721060,,,,,,,
Dowa,DA,1306,,1306,Chisepo Health Centre,Health Centre,Government/public,Rural,,-13.634920,33.470170,,,,,,,
Dowa,DA,1321,,1321,Chizolowondo Health Centre,Health Centre,Government/public,Rural,,-13.463360,33.513280,,,,,,,
Dowa,DA,1308,MCM/MOH/HC/71,1308,Dzaleka Health Centre,Health Centre,Government/public,Rural,,-13.661680,33.870420,,,,,,,
Dowa,DA,1309,MCM/MOH/HC/62,1309,Dzoole Health Centre,Health Centre,Government/public,Rural,,-13.585370,33.661560,,,,,,,
Dowa,DA,1310,MCM/MOH/HC/68,1310,Kayembe Health Centre,Health Centre,Government/public,Rural,,-13.642560,33.583010,,,,,,,
Dowa,DA,1312,MCM/MOH/HC/67,1312,Mbingwa Health Centre,Health Centre,Government/public,Rural,,-13.544250,33.514850,,,,,,,
Dowa,DA,1314,MCM/MOH/HC/65,1314,Msakambewa Health Centre,Health Centre,Government/public,Rural,,-13.552960,33.897190,,,,,,,
Dowa,DA,1316,,1316,Mvera Army Health Centre,Health Centre,Government/public,Rural,,-13.779630,34.139800,,,,,,,
Dowa,DA,1318,,1318,Mwangala Health Centre,Health Centre,Government/public,Rural,,-13.487440,33.923400,,,,,,,
Dowa,DA,1319,,1319,Nalunga Health Centre,Health Centre,Government/public,Rural,,-13.643780,34.056700,,,,,,,
Dowa,DA,1320,MCM/MOH/HC/70,1320,Thonje Health Centre,Health Centre,Government/public,Rural,,-13.726240,34.237250,,,,,,,
Dowa,DA,1311,MCM/CHAM/DH/06,1311,Madisi Mission Hospital,Other Hospital,Christian Health Association of Malawi (CHAM),Rural,,-13.407120,33.608130,,,,,,,
Dowa,DA,1315,,-1,Mthengathenga Hospital,Other Hospital,Christian Health Association of Malawi (CHAM),Rural,,-13.671650,33.776230,,,,,,,
Dowa,DA,1317,MCM/CHAM/HC/59,1317,Mvera Mission Health Centre,Health Centre,Christian Health Association of Malawi (CHAM),Rural,,-13.736730,34.128760,,,,,,,
Dowa,DA,1323,MCM/CHAM/HC/3,0,St. Mary's Rehabilitation Heal,Health Centre,Christian Health Association of Malawi (CHAM),Rural,,-13.725200,34.037070,,,,,,,
Dowa,DA,1324,,1324,Kasese/Lifeline Malawi Health,Health Centre,Private for profit,Rural,,-13.333380,33.576290,,,,,,,
Dowa,DA,1325,,0,Dalitso Private Clinic,Dispensary,Private for profit,Urban,,-13.422370,33.609320,,,,,,,
Dowa,DA,1322,,0,"Kanyika, Mwakalinga M. Alinafe",Dispensary,Private for profit,Urban,,-13.548490,33.742100,,,,,,,
Dowa,DA,1326,,0,Mamoyo Private Clinic,Dispensary,Private for profit,Rural,,-13.535320,33.739790,,,,,,,
Dowa,DA,1327,,0,Towoo's Private Clinic,Dispensary,Private for profit,Rural,,-13.705790,33.601860,,,,,,,
Dowa,DA,1328,,0,MBA-Esita Private Clinic,Dispensary,Private for profit,Rural,,-13.282820,33.689940,,,,,,,
Dowa,DA,1329,MCM/C/073,0,BLM Mponela Clinic,Dispensary,NGO,Urban,,-13.531970,33.738020,,,,,,,
Dowa,DA,1330,MCM/C/118,0,Family Planning Association Of,Dispensary,NGO,Urban,,-13.658340,33.932890,,,,,,,
Dowa,DA,1331,,0,Matekenya,Dispensary,Government/public,Urban,,-13.564647,34.047714,,,,,,,
Dowa,DA,1332,,0,Mondwe,Health Post,Government/public,Urban,,-13.49199,33.443872,,,,,,,
Dowa,DA,1333,,0,Mtambalika,Health Post,Orant Charities Africa,Urban,,-13.277929,33.597239,,,,,,,
Dowa,DA,1334,,0,Kaputalambwe,Health Post,Christian Health Association of Malawi (CHAM),Urban,,-13.765337,33.898429,,,,,,,
Dowa,DA,1335,MCM/CHAM/RH/10,0,Fransisco Palau Rural Hospital/Mtengowanthenga Dream Project,Rural/Community Hospital,Christian Health Association of Malawi (CHAM),Rural,,,,,,,,,,
Dowa,DA,1336,,1336,Chezi Mission Hospital,Rural/Community Hospital,Christian Health Association of Malawi (CHAM),,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Salima,SA,1415,MCM/MOH/DH/09,1415,Salima District Hospital,District Hospital,Government/public,Urban,,-13.762140,34.421990,,,,,,,
Salima,SA,1422,,1422,Chagunda Health Centre,Health Centre,Government/public,Rural,,-13.880280,34.367210,,,,,,,
Salima,SA,1401,MCM/MOH/HC/164,1401,Chinguluwe Health Centre,Health Centre,Government/public,Rural,,-13.664540,34.385030,,,,,,,
Salima,SA,1402,MCM/MOH/HC/165,1402,Chipoka Health Centre,Health Centre,Government/public,Rural,,-13.989730,34.515450,,,,,,,
Salima,SA,1406,MCM/MOH/HC/167,1406,Khombedza Health Centre,Health Centre,Government/public,Rural,,-13.596950,34.311110,,,,,,,
Salima,SA,1407,MCM/MOH/HC/171,1407,Lifuwu Health Centre,Health Centre,Government/public,Rural,,-13.679150,34.588780,,,,,,,
Salima,SA,1420,,1420,MAFCO,Health Centre,Government/public,Rural,,-13.784190,34.603380,,,,,,,
Salima,SA,1408,MCM/MOH/HC/168,1408,Maganga Health Centre,Health Centre,Government/public,Rural,,-13.846810,34.559100,,,,,,,
Salima,SA,1409,MCM/MOH/HC/170,0,Makioni Health Centre,Health Centre,Government/public,Rural,,-13.585990,34.197000,,,,,,,
Salima,SA,1410,MCM/MOH/HC/166,1410,Mchoka Health Centre,Health Centre,Government/public,Rural,,-13.925930,34.489840,,,,,,,
Salima,SA,1425,,1425,Parachute Battalion,Health Centre,Government/public,Rural,,-13.743140,34.588260,,,,,,,
